Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[67]     0.0    0.01    0.00 3760000         qbnn_ [67]
                0.00    0.00  980000/8500000     kfermi_ [57]
                0.00    0.00  803286/17104954     v1_ [56]
                0.00    0.00 1300310/3594548     rrpp_pa_ [93]
                0.00    0.00  803286/803286      rrnn_na_ [96]
                0.00    0.00  497024/4061141     v2_ [90]
                0.00    0.00  497024/497024      rrnn_nb_ [102]
-----------------------------------------------
                0.00    0.01  623700/623700      chemag8_ [37]
[68]     0.0    0.00    0.01  623700         elect11_ [68]
                0.01    0.00   18646/18748       elect11a_ [80]
                0.00    0.00   18646/623598      elect11b_ [75]
                0.00    0.00   18646/22562       fermi10_ [111]
-----------------------------------------------
                0.01    0.00 3850000/3850000     en_cond_ [32]
[69]     0.0    0.01    0.00 3850000         zfun_ [69]
-----------------------------------------------
                0.00    0.00  803286/3080124     qcpbf_cr_ [66]
                0.01    0.00 2276838/3080124     qcpbf_co_ [42]
[70]     0.0    0.01    0.00 3080124         ffa_ [70]
-----------------------------------------------
                0.00    0.00  497024/2395920     rrmp_ba_ [85]
                0.01    0.00 1898896/2395920     rrd_ba_ [83]
[71]     0.0    0.01    0.00 2395920         rrd_b_ [71]
-----------------------------------------------
                0.01    0.00 1330000/1330000     en_cond_ [32]
[72]     0.0    0.01    0.00 1330000         rcfun_ [72]
-----------------------------------------------
                0.01    0.00 1237500/1237500     cvf_ [23]
[73]     0.0    0.01    0.00 1237500         ccvfe_ [73]
-----------------------------------------------
                0.01    0.00  970000/970000      condin_ [41]
[74]     0.0    0.01    0.00  970000         hlfit8_ [74]
-----------------------------------------------
                0.00    0.00   18646/623598      elect11_ [68]
                0.01    0.00  604952/623598      chemag8_ [37]
[75]     0.0    0.01    0.00  623598         elect11b_ [75]
                0.00    0.00  623598/623598      sommerf_ [98]
-----------------------------------------------
                0.01    0.00  577338/577338      eosfim12_ [30]
[76]     0.0    0.01    0.00  577338         anharm8_ [76]
-----------------------------------------------
                0.01    0.00  577338/577338      hlmag_ [52]
[77]     0.0    0.01    0.00  577338         hlfit12_ [77]
-----------------------------------------------
                0.00    0.00     298/290298      condegin_ [33]
